"idnum","father_fin_security_w234","mother_fin_security_w2345"
"0741","Yes","No"
"0742","No","No"
"0743","Yes","Yes"
"0744","No","No"
"0745","Yes","Yes"
"0746","No","Yes"
"0747","Yes","Yes"
"0748","No","Yes"
"0749","No","No"
"0750",NA,NA
"0751",NA,"Yes"
"0752","No","No"
"0753","No","Yes"
"0754","No","No"
"0755","No","No"
"0756","Yes","Yes"
"0757","Yes","Yes"
"0758","Yes","Yes"
"0759","Yes","No"
"0760",NA,"No"
"0761","Yes","No"
"0762","Yes","Yes"
"0763","Yes","No"
"0764","Yes","Yes"
"0765","No","Yes"
"0766",NA,"No"
"0767","No","Yes"
"0768","No","No"
"0769",NA,"Yes"
"0770",NA,"No"
"0771","Yes","No"
"0772","Yes","Yes"
"0773",NA,"No"
"0774","Yes","Yes"
"0775","No","Yes"
"0776","Yes","Yes"
"0777","Yes","No"
"0778","Yes","Yes"
"0779",NA,"Yes"
"0780",NA,NA
"0781","Yes","No"
"0782","Yes","Yes"
"0783","No","Yes"
"0784","No","Yes"
"0785","No","Yes"
"0786",NA,"Yes"
"0787",NA,"Yes"
"0788","No","Yes"
"0789","No","Yes"
"0790","Yes","No"
"0791","Yes","Yes"
"0792",NA,"Yes"
"0793",NA,"Yes"
"0794","No","Yes"
"0795","Yes","Yes"
"0796","No","Yes"
"0797","No",NA
"0798","Yes","No"
"0799","Yes","No"
"0800","Yes","Yes"
"0801","No","Yes"
"0802","No","No"
"0803","Yes","Yes"
"0804","Yes","Yes"
"0805","Yes","Yes"
"0806","Yes",NA
"0807","Yes","Yes"
"0808","No","Yes"
"0809","No","No"
"0810","Yes","Yes"
"0811","Yes","No"
"0812","No","Yes"
"0813",NA,"Yes"
"0814","No","Yes"
"0815",NA,"Yes"
"0816","No","Yes"
"0817","Yes","No"
"0818","Yes","Yes"
"0819","Yes","Yes"
"0820","No","No"
"0821","Yes","Yes"
"0822","No","No"
"0823","No","Yes"
"0824","No","Yes"
"0825","Yes","Yes"
"0826","No","Yes"
"0827","Yes","No"
"0828",NA,"No"
"0829","Yes","Yes"
"0830","No","Yes"
"0831","No","No"
"0832","Yes","Yes"
"0833","No","No"
"0834","No","No"
"0835","Yes","Yes"
"0836","Yes","No"
"0837","Yes","No"
"0838","Yes","Yes"
"0839","Yes","Yes"
"0840",NA,NA
"0841","Yes","Yes"
"0842","No","No"
"0843","Yes","No"
"0844","Yes","No"
"0845","Yes","Yes"
"0846","Yes","No"
"0847","No","Yes"
"0848","Yes","Yes"
"0849",NA,NA
"0850","No","Yes"
"0851","Yes","Yes"
"0852",NA,"Yes"
"0853","No","No"
"0854",NA,"Yes"
"0855",NA,NA
"0856","Yes","No"
"0857","No","No"
"0858","Yes","Yes"
"0859","Yes","No"
"0860","Yes","Yes"
"0861","No","No"
"0862","No","No"
"0863","No","No"
"0864","No","No"
"0865",NA,"Yes"
"0866","No","Yes"
"0867",NA,"Yes"
"0868",NA,"No"
"0869","Yes","Yes"
"0870","Yes","Yes"
"0871","No","Yes"
