"idnum","fparents_edustatus_w2345","mparents_edustatus_w2345"
"0558","Neither parent attended college","Neither parent attended college"
"0559","Neither parent attended college","Neither parent attended college"
"0560","At least one parent attended college","Neither parent attended college"
"0561","Neither parent attended college","Neither parent attended college"
"0562","Neither parent attended college","Neither parent attended college"
"0563","Neither parent attended college","At least one parent attended college"
"0564","Neither parent attended college","Neither parent attended college"
"0565",NA,"Neither parent attended college"
"0566","Neither parent attended college",NA
"0567",NA,NA
"0568","Neither parent attended college","At least one parent attended college"
"0569","Neither parent attended college","At least one parent attended college"
"0570","Neither parent attended college","Neither parent attended college"
"0571",NA,"Neither parent attended college"
"0572","At least one parent attended college","At least one parent attended college"
"0573",NA,"At least one parent attended college"
"0574","At least one parent attended college","Neither parent attended college"
"0575",NA,"Neither parent attended college"
"0576",NA,"At least one parent attended college"
"0577","Neither parent attended college","Neither parent attended college"
"0578","Neither parent attended college","At least one parent attended college"
"0579","Neither parent attended college","Neither parent attended college"
"0580",NA,"At least one parent attended college"
"0581","Neither parent attended college","At least one parent attended college"
"0582","At least one parent attended college","Neither parent attended college"
"0583",NA,"Neither parent attended college"
"0584","At least one parent attended college",NA
"0585",NA,"Neither parent attended college"
"0586","Neither parent attended college","At least one parent attended college"
"0587","At least one parent attended college","Neither parent attended college"
"0588",NA,NA
"0589","Neither parent attended college","At least one parent attended college"
"0590",NA,"At least one parent attended college"
"0591",NA,"Neither parent attended college"
"0592",NA,NA
"0593","Neither parent attended college","Neither parent attended college"
"0594","Neither parent attended college","At least one parent attended college"
"0595",NA,"At least one parent attended college"
"0596",NA,"At least one parent attended college"
"0597","Neither parent attended college","Neither parent attended college"
"0598","At least one parent attended college","Neither parent attended college"
"0599",NA,"At least one parent attended college"
"0600","Neither parent attended college","Neither parent attended college"
"0601","Neither parent attended college","Neither parent attended college"
"0602","Neither parent attended college","At least one parent attended college"
"0603",NA,NA
"0604","At least one parent attended college","Neither parent attended college"
"0605","At least one parent attended college","At least one parent attended college"
"0606",NA,"Neither parent attended college"
"0607",NA,"Neither parent attended college"
"0608",NA,NA
"0609","Neither parent attended college","Neither parent attended college"
"0610","At least one parent attended college","Neither parent attended college"
"0611","Neither parent attended college",NA
"0612",NA,"At least one parent attended college"
"0613","Neither parent attended college","At least one parent attended college"
"0614","Neither parent attended college","Neither parent attended college"
"0615","At least one parent attended college","At least one parent attended college"
"0616","Neither parent attended college","At least one parent attended college"
"0617","Neither parent attended college","Neither parent attended college"
"0618","At least one parent attended college",NA
"0619","At least one parent attended college","At least one parent attended college"
"0620","Neither parent attended college","Neither parent attended college"
"0621",NA,"At least one parent attended college"
"0622","Neither parent attended college","At least one parent attended college"
"0623","At least one parent attended college","At least one parent attended college"
"0624","At least one parent attended college",NA
"0625","At least one parent attended college","Neither parent attended college"
"0626","Neither parent attended college","Neither parent attended college"
"0627",NA,"Neither parent attended college"
"0628","Neither parent attended college","At least one parent attended college"
"0629",NA,"Neither parent attended college"
"0630",NA,"Neither parent attended college"
"0631","Neither parent attended college","At least one parent attended college"
"0632","Neither parent attended college","Neither parent attended college"
"0633",NA,NA
"0634","Neither parent attended college","Neither parent attended college"
"0635","Neither parent attended college","Neither parent attended college"
"0636","Neither parent attended college","At least one parent attended college"
"0637","Neither parent attended college",NA
"0638","At least one parent attended college","Neither parent attended college"
"0639",NA,"At least one parent attended college"
"0640","At least one parent attended college","At least one parent attended college"
"0641","Neither parent attended college","At least one parent attended college"
"0642","Neither parent attended college","Neither parent attended college"
"0643","Neither parent attended college","Neither parent attended college"
"0644",NA,NA
"0645",NA,"Neither parent attended college"
"0646","Neither parent attended college","Neither parent attended college"
"0647",NA,"Neither parent attended college"
"0648",NA,"Neither parent attended college"
"0649","Neither parent attended college","Neither parent attended college"
"0650","Neither parent attended college","Neither parent attended college"
"0651","Neither parent attended college","At least one parent attended college"
"0652","At least one parent attended college","Neither parent attended college"
"0653","Neither parent attended college","Neither parent attended college"
"0654","Neither parent attended college","At least one parent attended college"
"0655",NA,"At least one parent attended college"
"0656",NA,"Neither parent attended college"
"0657","Neither parent attended college","Neither parent attended college"
"0658","Neither parent attended college","Neither parent attended college"
"0659","Neither parent attended college","At least one parent attended college"
