"idnum","k6b20a","k6b20b","k6b20c","k6b20d"
"4716","B","A","B","C"
"4717","A","A","A","A"
"4718",NA,NA,NA,NA
"4719",NA,NA,NA,NA
"4720","A","A",NA,NA
"4721","B","B","A","B"
"4722","B","C","B","A"
"4723","C","B","B","B"
"4724","A","A","C","B"
"4725","B","B","A","A"
"4726","B","B","B","B"
"4727",NA,NA,NA,NA
"4728","A","A","B","B"
"4729",NA,NA,NA,NA
"4730",NA,NA,NA,NA
"4731",NA,NA,NA,NA
"4732","A","A","A","A"
"4733","B","C","C","B"
"4734","C",NA,NA,NA
"4735",NA,NA,NA,NA
"4736","A","B","A","B"
"4737","A","A","A","A"
"4738",NA,NA,NA,NA
"4739","A","C",NA,NA
"4740",NA,NA,NA,NA
"4741",NA,"D or lower","D or lower",NA
"4742",NA,NA,NA,NA
"4743","B","B","A","C"
"4744","B","A","A","A"
"4745","B","C","A","B"
"4746","C","D or lower","B","C"
"4747",NA,NA,NA,NA
"4748",NA,NA,NA,NA
"4749","A","B","A","A"
"4750",NA,NA,NA,NA
"4751",NA,NA,NA,NA
"4752",NA,"D or lower","D or lower","B"
"4753",NA,NA,NA,NA
"4754","B","A",NA,"C"
"4755","A","A","A","B"
"4756","B","D or lower","B","C"
"4757","D or lower","A",NA,"B"
"4758","A","B","A","B"
"4759","C","B","C","C"
"4760","B","B","B","A"
"4761",NA,NA,NA,NA
"4762","B","B","A","B"
"4763","B","C",NA,"C"
"4764",NA,NA,NA,NA
"4765","B","B","C","C"
"4766",NA,NA,NA,NA
"4767",NA,NA,NA,NA
"4768",NA,NA,NA,NA
"4769","B","B","B","D or lower"
"4770","B","C","C","C"
"4771","C","B","C","C"
"4772","A","B","C",NA
"4773","A","A","C","A"
"4774",NA,NA,NA,NA
"4775","C","C","B","C"
"4776",NA,NA,NA,NA
"4777",NA,NA,NA,NA
"4778",NA,NA,NA,NA
"4779",NA,NA,NA,NA
"4780","A","A","A","A"
"4781","C","B","C","C"
"4782","B","D or lower","B","B"
"4783","A","A","A","A"
"4784",NA,NA,NA,NA
"4785","A","B","A","D or lower"
"4786",NA,NA,NA,NA
"4787",NA,NA,NA,NA
"4788",NA,NA,NA,NA
"4789","A","A","B","B"
"4790","B","C","B","B"
"4791","D or lower","B","B",NA
"4792","B","A","A","A"
"4793","C","C","A","D or lower"
"4794",NA,NA,NA,NA
"4795",NA,NA,NA,NA
"4796",NA,NA,NA,NA
"4797","B","D or lower","A","B"
"4798","C","C","C","C"
"4799","D or lower","D or lower","C","B"
"4800",NA,NA,NA,NA
"4801","C",NA,NA,"B"
"4802",NA,NA,NA,NA
"4803","A","C","A","A"
"4804",NA,NA,NA,NA
"4805","B","A","A","C"
"4806","B","D or lower",NA,"B"
"4807","B","A",NA,"B"
"4808",NA,NA,NA,NA
"4809","A","B","A","A"
"4810","B","D or lower",NA,"C"
"4811",NA,NA,NA,NA
"4812",NA,NA,NA,NA
"4813",NA,NA,NA,NA
"4814","B","C","A","A"
"4815","B","B","C","A"
"4816",NA,NA,NA,NA
"4817",NA,NA,NA,NA
"4818",NA,NA,NA,NA
"4819","C","A","C","C"
"4820","A","A","A","A"
"4821","A","A","A","A"
"4822",NA,NA,NA,NA
"4823","B","A","B","B"
"4824",NA,NA,NA,NA
"4825","A","B","B","A"
"4826","C","D or lower",NA,"B"
"4827","B","C","B","C"
"4828","B","C","B","B"
"4829",NA,NA,NA,NA
"4830",NA,NA,NA,NA
"4831",NA,NA,NA,NA
"4832","B","A",NA,"C"
"4833","C","B","C","C"
"4834","B","A","C","B"
"4835","C","B","A","C"
"4836","D or lower","C","B",NA
"4837","B","D or lower","C","B"
"4838","A","C","A","B"
"4839",NA,NA,NA,NA
"4840","C","A","B","D or lower"
"4841","B","A","B","A"
"4842",NA,NA,NA,NA
"4843",NA,NA,NA,NA
"4844","B","A","B","B"
"4845",NA,"B",NA,NA
"4846",NA,NA,NA,NA
"4847",NA,NA,NA,NA
"4848","B","B",NA,"A"
"4849","A","D or lower","B","B"
"4850",NA,NA,NA,NA
"4851","A","A","A","A"
"4852","A","A","B","A"
"4853",NA,NA,NA,NA
"4854","B","B","C","C"
"4855","A","B","B","B"
"4856","A","A","A","A"
"4857",NA,NA,NA,NA
"4858",NA,NA,NA,NA
"4859","D or lower","D or lower","A","B"
"4860","A","A","A","B"
"4861","B","C","D or lower","C"
"4862",NA,NA,NA,NA
"4863","A","B","A","B"
"4864","B","A","B","B"
"4865","A","B","A","A"
"4866","B","C","C","C"
"4867","A","B","B","C"
"4868",NA,NA,NA,NA
"4869","B","A","C","B"
"4870","B","C","B","A"
"4871","B","B","A","B"
"4872","A","B","A","A"
"4873","A","A",NA,"B"
"4874","C","C","C",NA
"4875",NA,NA,NA,NA
"4876","A","A","B","A"
"4877","C","B","C","C"
"4878","A","A","A","B"
"4879","B","D or lower","D or lower","B"
"4880","B","B","C","A"
"4881",NA,NA,NA,NA
"4882","A","A","A","A"
"4883",NA,NA,NA,NA
"4884","D or lower","B","A","C"
"4885","A","C","B","A"
"4886","B","C","B","C"
"4887","C","C","A","C"
"4888","A","B","B","B"
"4889",NA,NA,NA,NA
"4890","C","A","C","C"
"4891","C","D or lower","B","B"
"4892","B","B","B",NA
"4893","A","C","A","A"
"4894","B",NA,NA,"D or lower"
"4895",NA,NA,NA,NA
"4896","B","D or lower","A","B"
"4897","A","C","D or lower","D or lower"
"4898",NA,NA,NA,NA
